name_func;id_handler;exception_name;user/sys
versions_from_file;7;NotThisMethod;usr
_get_standard_colors;30;ValueError;sys
_remove_labels_from_axis;37;null;sys
load_reduce;47;null;sys
load;48;null;sys
__delitem__;50;KeyError;sys
popitem;51;KeyError;sys
pop;52;KeyError;sys
validate_transpose_for_generic;53;ValueError;sys
get_writer;59;ValueError;sys
__new__;63;error;usr
_try_import;68;ImportError;sys
_try_import;69;ImportError;sys
read_hdf;73;null;sys
__init__;74;ImportError;sys
open;79;null;sys
open;79;e;usr
open;79;IOError;sys
open;79;null;sys
remove;81;ValueError;sys
_validate_format;83;TypeError;sys
validate_multiindex;98;ValueError;sys
create_axes;99;TypeError;sys
create_axes;100;ValueError;sys
create_axes;101;ValueError;sys
create_axes;103;e;usr
create_axes;103;Exception;sys
write_data_chunk;104;Exception;sys
write_data_chunk;105;TypeError;sys
generate;109;ValueError;sys
_get_dtypes;112;ValueError;sys
_get_dtypes;113;ValueError;sys
_read_old_header;114;ValueError;sys
_read_old_header;115;ValueError;sys
read;117;null;sys
read;118;null;sys
_do_convert_categoricals;119;ValueError;sys
_try_import;121;ImportError;sys
read_pickle;124;null;sys
__init__;128;ValueError;sys
__next__;130;null;sys
_cast_types;133;ValueError;sys
read;135;null;sys
read;136;null;sys
_infer_columns;137;ValueError;sys
_infer_columns;137;EmptyDataError;usr
_infer_columns;138;EmptyDataError;usr
_next_line;140;StopIteration;sys
_get_lines;144;null;sys
read_sql_table;154;ValueError;sys
insert_data;157;ValueError;sys
_get_unicode_name;161;ValueError;sys
run_transaction;162;null;sys
_build_doc;172;ValueError;sys
_build_doc;172;null;sys
json_normalize;175;KeyError;sys
_ensure_valid_index;220;ValueError;sys
_sanitize_column;221;e;usr
_sanitize_column;221;TypeError;sys
_apply_standard;227;null;sys
_ixs;236;null;sys
__getitem__;239;null;sys
__getitem__;239;null;sys
_get_with;240;null;sys
_get_with;241;null;sys
__setitem__;245;null;sys
__setitem__;246;ValueError;sys
__setitem__;246;IndexError;sys
_make_dt_accessor;255;AttributeError;sys
_sanitize_array;257;null;sys
_sanitize_array;258;null;sys
_arith_method_SERIES;260;TypeError;sys
_arith_method_SERIES;261;null;sys
_bool_method_SERIES;264;TypeError;sys
_arith_method_FRAME;265;TypeError;sys
_aggregate;270;ValueError;sys
_aggregate_multiple_funcs;273;null;sys
_aggregate_multiple_funcs;276;null;sys
_aggregate_multiple_funcs;277;ValueError;sys
item;278;ValueError;sys
_get_indices;279;ValueError;sys
_make_wrapper;282;ValueError;sys
_cython_transform;284;GroupByError;usr
_cython_agg_general;285;GroupByError;usr
mean;288;null;sys
median;290;null;sys
_add_numeric_operations;292;SpecificationError;usr
_cython_operation;295;null;sys
filter;303;TypeError;sys
filter;303;TypeError;sys
_transform_general;315;ValueError;sys
_aggregate_item_by_item;319;null;sys
_interpolate_scipy_wrapper;322;ImportError;sys
_interpolate_scipy_wrapper;323;ImportError;sys
_interpolate_scipy_wrapper;324;ImportError;sys
_astype;328;null;sys
setitem;332;null;sys
setitem;333;null;sys
eval;337;null;sys
where;338;TypeError;sys
_try_coerce_args;352;TypeError;sys
_prep_values;360;TypeError;sys
validate;361;ImportError;sys
_validate_freq;364;ValueError;sys
__call__;367;TypeError;sys
__call__;367;null;sys
__call__;370;TypeError;sys
__call__;370;null;sys
_ensure_numeric;376;TypeError;sys
_init_matrix;377;ValueError;sys
__init__;383;TypeError;sys
__init__;383;NotImplementedError;sys
from_codes;384;ValueError;sys
_construct_axes_from_arguments;395;TypeError;sys
__invert__;400;null;sys
sample;409;KeyError;sys
at_time;413;TypeError;sys
between_time;414;TypeError;sys
_get_setitem_indexer;424;null;sys
_get_setitem_indexer;424;IndexingError;usr
_multi_take;427;_exception;usr
_handle_lowerdim_multi_index_axis0;429;IndexingError;usr
_handle_lowerdim_multi_index_axis0;429;e1;usr
_getitem_axis;430;null;sys
_getitem_iterable;431;AssertionError;sys
_convert_to_indexer;435;null;sys
_convert_to_indexer;435;null;sys
_convert_to_indexer;436;null;sys
_getbool_axis;438;_exception;usr
_has_valid_type;440;null;sys
_get_list_axis;442;IndexError;sys
create_nd_panel_factory;447;Exception;sys
value_counts;452;TypeError;sys
_length_check;454;ValueError;sys
_map;455;e;usr
__getitem__;463;null;sys
resolve;469;UndefinedVariableError;usr
__init__;479;ValueError;sys
__init__;480;ValueError;sys
_evaluate_numexpr;484;null;sys
_where_numexpr;486;TypeError;sys
visit_Subscript;491;ValueError;sys
evaluate;494;ValueError;sys
evaluate;495;ValueError;sys
visit_Call_35;501;null;sys
visit_Call_legacy;503;null;sys
_evaluate;505;UndefinedVariableError;usr
to_coo;506;ImportError;sys
astype;509;ValueError;sys
__getitem__;512;Exception;sys
_get_comb_axis;516;TypeError;sys
_make_concat_multiindex;517;ValueError;sys
_normalize;528;ValueError;sys
_normalize;529;ValueError;sys
__new__;534;ValueError;sys
construct_from_string;537;TypeError;sys
__new__;541;ValueError;sys
_validate_date_like_dtype;557;TypeError;sys
pandas_dtype;562;null;sys
__new__;587;null;sys
_convert_slice_indexer;595;null;sys
_convert_slice_indexer;596;null;sys
_convert_slice_indexer;596;null;sys
get_value;613;null;sys
get_value;616;null;sys
get_value;616;InvalidIndexError;usr
get_value;616;e1;usr
get_value;616;e1;usr
get_value;616;IndexError;sys
get_value;616;InvalidIndexError;usr
get_slice_bound;620;err;usr
_get_level_number;623;KeyError;sys
_get_level_number;623;IndexError;sys
_get_level_number;623;IndexError;sys
get_value;630;null;sys
get_value;630;InvalidIndexError;usr
get_value;630;e1;usr
get_value;630;e1;usr
get_value;632;null;sys
get_value;633;InvalidIndexError;usr
drop;637;null;sys
_convert_can_do_setop;644;TypeError;sys
_generate;646;TypeError;sys
get_value;655;KeyError;sys
get_loc;658;KeyError;sys
slice_indexer;659;null;sys
insert;660;TypeError;sys
__new__;661;TypeError;sys
_convert_tolerance;664;ValueError;sys
get_loc;674;null;sys
get_loc;676;KeyError;sys
get_loc;677;KeyError;sys
_maybe_cast_slice_bound;678;KeyError;sys
_convert_tolerance;684;ValueError;sys
_td_index_cmp;689;TypeError;sys
get_value;695;KeyError;sys
get_loc;698;KeyError;sys
insert;700;TypeError;sys
get_value;704;ValueError;sys
to_datetime;714;ValueError;sys
to_datetime;716;null;sys
to_datetime;716;null;sys
to_datetime;717;e;usr
to_datetime;718;ValueError;sys
to_datetime;720;OutOfBoundsDatetime;usr
to_datetime;720;ValueError;sys
_assemble_from_unit_mappings;721;ValueError;sys
_assemble_from_unit_mappings;722;ValueError;sys
to_time;727;ValueError;sys
to_numeric;729;null;sys
_validate_timedelta_unit;730;ValueError;sys
_coerce_scalar_to_timedelta_type;731;null;sys
_convert_listlike;732;null;sys
_skip_if_no_mock;746;SkipTest;usr
_skip_if_no_ipython;747;SkipTest;usr
_default_locale_getter;748;type;usr
network;764;null;sys
network;764;null;sys
__getattr__;767;null;sys
get_freq_code;774;null;sys
to_offset;775;ValueError;sys
to_offset;776;ValueError;sys
get_offset;777;ValueError;sys
_period_str_to_code;778;ValueError;sys
_validate_time;786;ValueError;sys
__add__;789;OverflowError;sys
create_panels_append;809;Exception;sys
run_code;837;PlotError;usr
makefig;838;PlotError;usr
setup;840;NotImplementedError;sys
