name_func;id_handler;name;user/sys;tuple
remove_move;149;AttributeError;sys;1
remove_move;150;KeyError;sys;1
get_func_name;156;TypeError;sys;1
getfullargspec;158;AttributeError;sys;1
filter_args;159;IndexError;usr;0
filter_args;159;KeyError;usr;0
__call__;160;KeyboardInterrupt;sys;1
delayed;162;AttributeError;sys;1
assert_raises_regex;164;Exception;sys;1
__init__;165;ImportError;sys;1
save;166;Exception;sys;1
__init__;167;ImportError;sys;1
load;168;UnicodeDecodeError;sys;1
_load_output;169;KeyError;sys;1
_cached_call;172;Exception;sys;1
_write_func_code;173;TypeError;sys;1
_check_previous_func_code;174;TypeError;sys;1
_check_previous_func_code;175;IOError;sys;1
_persist_output;176;OSError;sys;1
_detect_encoding;178;StopIteration;sys;1
_detect_encoding;179;UnicodeDecodeError;sys;1
_detect_encoding;180;LookupError;sys;1
memstr_to_kbytes;181;KeyError;usr;0
memstr_to_kbytes;181;ValueError;usr;0
mkdirp;182;OSError;sys;1
safe_repr;185;KeyboardInterrupt;sys;1
safe_repr;187;KeyboardInterrupt;sys;1
safe_repr;189;KeyboardInterrupt;sys;1
_fixed_getframes;191;IndexError;sys;1
format_records;192;OSError;sys;1
format_records;193;KeyError;sys;1
format_records;194;IndexError;sys;1
format_records;195;IndexError;usr;0
format_records;195;UnicodeDecodeError;usr;0
format_exc;198;AttributeError;sys;1
_mk_exception;201;TypeError;sys;1
__init__;202;TypeError;sys;1
_batch_setitems;205;TypeError;sys;1
save;206;ValueError;usr;0
save;206;BufferError;usr;0
__call__;207;OSError;sys;1
delete_folder;208;WindowsError;sys;1
__init__;209;IOError;sys;1
_check_parameters;210;TypeError;sys;1
_check_parameters;211;ValueError;usr;0
_check_parameters;211;TypeError;usr;0
_fit;212;TypeError;sys;1
discretize;213;LinAlgError;usr;1
linkage_tree;214;KeyError;sys;1
_count_vocab;215;KeyError;sys;1
transform;216;KeyError;sys;1
_arg_max_reduced_likelihood_function;219;ValueError;sys;1
fit;220;ValueError;sys;1
logistic_regression_path;221;TypeError;sys;1
_get_loss_function;223;KeyError;sys;1
_get_learning_rate_type;224;KeyError;sys;1
_get_penalty_type;225;KeyError;sys;1
spectral_embedding;229;ImportError;sys;1
spectral_embedding;230;RuntimeError;sys;1
null_space;231;RuntimeError;sys;1
