name;id;raise;re-raise;try;handlers;size
run;0;0;0;0;0;14
configuration;1;0;0;0;0;6
get_scipy_status;2;0;0;1;1;8
get_numpy_status;3;0;0;1;1;8
setup_package;4;4;0;1;1;15
exit;5;0;0;0;0;2
make_carousel_thumbs;6;0;0;0;0;8
setup;7;0;0;0;0;2
setup_module;8;1;0;0;0;3
globs;9;0;0;0;0;4
setup_module;10;0;0;0;0;1
teardown_module;11;0;0;0;0;2
setup_module;12;1;0;0;0;3
setup_module;13;1;0;0;0;4
_get_git_revision;14;0;0;1;1;4
_linkcode_resolve;15;0;0;3;3;19
make_linkcode_resolve;16;0;0;0;0;2
user_role;17;0;0;0;0;12
_make_issue_node;18;0;0;0;0;7
issue_role;19;0;0;0;0;12
setup;20;0;0;0;0;5
__init__;21;0;0;0;0;3
_str_header;22;0;0;0;0;1
_str_field_list;23;0;0;0;0;1
_str_indent;24;0;0;0;0;3
_str_signature;25;0;0;0;0;3
_str_summary;26;0;0;0;0;1
_str_extended_summary;27;0;0;0;0;1
_str_param_list;28;0;0;0;0;8
_obj;29;0;0;0;0;5
_str_member_list;30;0;0;0;0;23
_str_section;31;0;0;0;0;7
_str_see_also;32;0;0;0;0;5
_str_warnings;33;0;0;0;0;4
_str_index;34;0;0;0;0;9
_str_references;35;0;0;0;0;13
_str_examples;36;0;0;0;0;8
__str__;37;0;0;0;0;14
__init__;38;0;0;0;0;2
__init__;39;0;0;0;0;2
__init__;40;0;0;0;0;2
get_doc_object;41;0;0;0;0;11
mangle_docstrings;42;0;0;0;0;24
mangle_signature;43;0;0;0;0;12
setup;44;0;0;0;0;10
__init__;45;0;0;0;0;2
wrap_mangling_directives;46;0;0;0;0;2
wrap_mangling_directive;47;0;0;0;0;10
__init__;48;0;0;0;0;4
__getitem__;49;0;0;0;0;1
reset;50;0;0;0;0;1
read;51;0;0;0;0;5
seek_next_non_empty_line;52;0;0;0;0;2
eof;53;0;0;0;0;1
read_to_condition;54;0;0;0;0;7
read_to_next_empty_line;55;0;0;0;0;3
read_to_next_unindented_line;56;0;0;0;0;2
peek;57;0;0;0;0;3
is_empty;58;0;0;0;0;1
__init__;59;0;0;0;0;4
__getitem__;60;0;0;0;0;1
__setitem__;61;0;0;0;0;2
_is_at_section;62;0;0;0;0;8
_strip;63;0;0;0;0;7
_read_to_next_section;64;0;0;0;0;7
_read_sections;65;0;0;0;0;6
_parse_param_list;66;0;0;0;0;10
_parse_see_also;67;1;0;0;0;29
_parse_index;68;0;0;0;0;9
_parse_summary;69;0;0;0;0;11
_parse;70;0;0;0;0;10
_str_header;71;0;0;0;0;1
_str_indent;72;0;0;0;0;3
_str_signature;73;0;0;0;0;2
_str_summary;74;0;0;0;0;2
_str_extended_summary;75;0;0;0;0;2
_str_param_list;76;0;0;0;0;6
_str_section;77;0;0;0;0;5
_str_see_also;78;0;0;0;0;15
_str_index;79;0;0;0;0;6
__str__;80;0;0;0;0;11
indent;81;0;0;0;0;4
dedent_lines;82;0;0;0;0;1
header;83;0;0;0;0;1
__init__;84;1;0;1;1;12
get_func;85;0;0;0;0;5
__str__;86;0;0;0;0;8
__init__;87;2;0;0;0;12
methods;88;0;0;0;0;2
properties;89;0;0;0;0;2
glr_path_static;90;0;0;0;0;1
_get_data;91;1;0;1;1;13
get_data;92;0;0;0;0;9
_select_block;93;1;0;0;0;8
_parse_dict_recursive;94;2;0;1;1;21
parse_sphinx_searchindex;95;2;0;0;0;14
__init__;96;2;0;0;0;18
_get_link;97;0;0;0;0;29
resolve;98;0;0;0;0;9
_embed_code_links;99;0;0;2;3;41
embed_code_links;100;0;0;0;0;9
clean_gallery_out;101;0;0;0;0;6
generate_gallery_rst;102;0;0;1;1;29
touch_empty_backreferences;103;0;0;0;0;3
setup;104;0;0;0;0;7
setup_module;105;0;0;0;0;1
__init__;106;0;0;0;0;3
visit_Import;107;0;0;0;0;2
visit_ImportFrom;108;0;0;0;0;1
visit_Name;109;0;0;0;0;1
visit_Attribute;110;0;0;0;0;8
get_mapping;111;0;0;0;0;3
get_short_module_name;112;0;0;1;1;6
identify_names;113;0;0;0;0;9
scan_used_functions;114;0;0;0;0;6
_thumbnail_div;115;0;0;0;0;4
write_backreferences;116;0;0;0;0;10
indent;117;0;0;0;0;4
__init__;118;0;0;0;0;2
write;119;0;0;0;0;2
flush;120;0;0;0;0;2
get_docstring_and_rest;121;2;0;0;0;12
split_code_and_text_blocks;122;0;0;0;0;19
codestr2rst;123;0;0;0;0;3
text2string;124;0;0;1;1;2
extract_intro;125;1;0;0;0;7
get_md5sum;126;0;0;0;0;5
check_md5sum_change;127;0;0;0;0;10
_plots_are_current;128;0;0;0;0;4
save_figures;129;0;0;0;0;25
scale_image;130;0;0;2;2;17
save_thumbnail;131;0;0;0;0;11
generate_dir_rst;132;0;0;0;0;21
execute_script;133;0;1;1;1;40
generate_file_rst;134;0;0;0;0;43
ipy_notebook_skeleton;135;0;0;0;0;3
rst2md;136;0;0;0;0;7
__init__;137;0;0;0;0;4
add_code_cell;138;0;0;0;0;2
add_markdown_cell;139;0;0;0;0;2
save_file;140;0;0;0;0;2
setup_module;141;1;0;0;0;1
setup_module;142;0;0;0;0;1
Command;143;0;0;0;0;1
Arguments;144;0;0;0;0;1
__init__;145;0;0;0;0;4
parseImpl;146;1;0;0;0;7
Sequence;147;0;0;0;0;1
convertToFloat;148;0;1;1;1;2
get_points;149;0;0;0;0;9
_ustr;150;0;0;1;1;2
_str2dict;151;0;0;0;0;1
__init__;152;0;0;0;0;6
__getattr__;153;1;0;0;0;4
__str__;154;0;0;0;0;1
__repr__;155;0;0;0;0;1
markInputline;156;0;0;0;0;4
__init__;157;0;0;0;0;1
__str__;158;0;0;0;0;1
__init__;159;0;0;0;0;1
__getitem__;160;0;0;0;0;1
__repr__;161;0;0;0;0;1
__new__;162;0;0;0;0;5
__init__;163;0;0;1;1;20
__getitem__;164;0;0;0;0;4
__setitem__;165;0;0;0;0;10
__delitem__;166;0;0;0;0;13
__contains__;167;0;0;0;0;1
__len__;168;0;0;0;0;1
__bool__;169;0;0;0;0;1
__nonzero__;170;0;0;0;0;1
__iter__;171;0;0;0;0;1
__reversed__;172;0;0;0;0;1
keys;173;0;0;0;0;1
pop;174;0;0;0;0;3
get;175;0;0;0;0;2
insert;176;0;0;0;0;5
items;177;0;0;0;0;1
values;178;0;0;0;0;1
__getattr__;179;0;0;0;0;5
__add__;180;0;0;0;0;3
__iadd__;181;0;0;0;0;11
__repr__;182;0;0;0;0;1
__str__;183;0;0;0;0;8
_asStringList;184;0;0;0;0;6
asList;185;0;0;0;0;5
asDict;186;0;0;0;0;1
copy;187;0;0;0;0;6
asXML;188;0;0;0;0;25
__lookup;189;0;0;0;0;3
getName;190;0;0;0;0;9
dump;191;0;0;0;0;12
__getstate__;192;0;0;0;0;1
__setstate__;193;0;0;0;0;6
col;194;0;0;0;0;1
lineno;195;0;0;0;0;1
line;196;0;0;0;0;4
_defaultStartDebugAction;197;0;0;0;0;1
_defaultSuccessDebugAction;198;0;0;0;0;1
_defaultExceptionDebugAction;199;0;0;0;0;1
nullDebugAction;200;0;0;0;0;1
setDefaultWhitespaceChars;201;0;0;0;0;1
__init__;202;0;0;0;0;20
copy;203;0;0;0;0;5
setName;204;0;0;0;0;5
setResultsName;205;0;0;0;0;4
setBreak;206;0;0;0;0;8
_normalizeParseActionArgs;207;0;0;5;5;29
setParseAction;208;0;0;0;0;3
addParseAction;209;0;0;0;0;3
setFailAction;210;0;0;0;0;2
_skipIgnorables;211;0;0;1;1;6
preParse;212;0;0;0;0;5
parseImpl;213;0;0;0;0;1
postParse;214;0;0;0;0;1
_parseNoCache;215;0;4;4;4;27
tryParse;216;0;0;0;0;1
_parseCache;217;1;1;1;1;12
resetCache;218;0;0;0;0;1
enablePackrat;219;0;0;0;0;2
parseString;220;0;0;0;0;6
scanString;221;0;0;1;1;14
transformString;222;0;0;0;0;13
searchString;223;0;0;0;0;1
__add__;224;0;0;0;0;6
__radd__;225;0;0;0;0;6
__mul__;226;6;0;0;0;20
__rmul__;227;0;0;0;0;1
__or__;228;0;0;0;0;6
__ror__;229;0;0;0;0;6
__xor__;230;0;0;0;0;6
__rxor__;231;0;0;0;0;6
__and__;232;0;0;0;0;6
__rand__;233;0;0;0;0;6
__invert__;234;0;0;0;0;1
__call__;235;0;0;0;0;1
suppress;236;0;0;0;0;1
leaveWhitespace;237;0;0;0;0;2
setWhitespaceChars;238;0;0;0;0;4
parseWithTabs;239;0;0;0;0;2
ignore;240;0;0;0;0;4
setDebugActions;241;0;0;0;0;3
setDebug;242;0;0;0;0;3
__str__;243;0;0;0;0;1
__repr__;244;0;0;0;0;1
streamline;245;0;0;0;0;3
checkRecursion;246;0;0;0;0;1
validate;247;0;0;0;0;1
parseFile;248;0;0;1;1;5
getException;249;0;0;0;0;1
__getattr__;250;1;0;0;0;3
__eq__;251;0;0;1;1;5
__req__;252;0;0;0;0;1
__init__;253;0;0;0;0;1
setName;254;0;0;0;0;3
__init__;255;0;0;0;0;4
__init__;256;0;0;0;0;5
parseImpl;257;1;0;0;0;4
__init__;258;0;0;1;1;10
parseImpl;259;1;0;0;0;6
__init__;260;0;0;1;1;13
parseImpl;261;1;0;0;0;12
copy;262;0;0;0;0;3
setDefaultKeywordChars;263;0;0;0;0;1
__init__;264;0;0;0;0;4
parseImpl;265;1;0;0;0;6
__init__;266;0;0;0;0;1
parseImpl;267;1;0;0;0;8
__init__;268;1;0;1;1;25
parseImpl;269;3;0;0;0;27
__str__;270;0;0;1;1;8
__init__;271;0;1;1;1;13
parseImpl;272;1;0;0;0;11
__str__;273;0;0;1;1;4
__init__;274;2;1;1;1;36
parseImpl;275;1;0;0;0;12
__str__;276;0;0;1;1;4
__init__;277;1;0;0;0;13
parseImpl;278;2;0;0;0;14
__str__;279;0;0;1;1;6
__init__;280;0;0;0;0;11
parseImpl;281;2;0;0;0;14
__init__;282;0;0;0;0;4
__init__;283;0;0;0;0;2
preParse;284;0;0;0;0;7
parseImpl;285;1;0;0;0;5
__init__;286;0;0;0;0;3
preParse;287;0;0;0;0;3
parseImpl;288;1;0;0;0;6
__init__;289;0;0;0;0;3
parseImpl;290;2;0;0;0;12
__init__;291;0;0;0;0;2
parseImpl;292;1;0;0;0;6
__init__;293;0;0;0;0;2
parseImpl;294;2;0;0;0;13
__init__;295;0;0;0;0;3
parseImpl;296;1;0;0;0;5
__init__;297;0;0;0;0;4
parseImpl;298;1;0;0;0;6
__init__;299;0;0;0;0;7
__getitem__;300;0;0;0;0;1
append;301;0;0;0;0;3
leaveWhitespace;302;0;0;0;0;4
ignore;303;0;0;0;0;6
__str__;304;0;0;1;1;4
streamline;305;0;0;0;0;16
setResultsName;306;0;0;0;0;2
validate;307;0;0;0;0;3
__init__;308;0;0;0;0;6
parseImpl;309;0;0;0;0;5
__iadd__;310;0;0;0;0;3
checkRecursion;311;0;0;0;0;2
__str__;312;0;0;0;0;4
__init__;313;0;0;0;0;3
parseImpl;314;2;0;1;2;13
__ixor__;315;0;0;0;0;3
__str__;316;0;0;0;0;4
checkRecursion;317;0;0;0;0;2
__init__;318;0;0;0;0;4
parseImpl;319;2;0;1;2;10
__ior__;320;0;0;0;0;3
__str__;321;0;0;0;0;4
checkRecursion;322;0;0;0;0;2
__init__;323;0;0;0;0;9
parseImpl;324;1;0;1;1;31
__str__;325;0;0;0;0;4
checkRecursion;326;0;0;0;0;2
__init__;327;0;0;0;0;12
parseImpl;328;1;0;0;0;2
leaveWhitespace;329;0;0;0;0;4
ignore;330;0;0;0;0;6
streamline;331;0;0;0;0;3
checkRecursion;332;1;0;0;0;3
validate;333;0;0;0;0;3
__str__;334;0;0;1;1;4
__init__;335;0;0;0;0;2
parseImpl;336;0;0;0;0;2
__init__;337;0;0;0;0;4
parseImpl;338;1;0;1;1;7
__str__;339;0;0;0;0;4
__init__;340;0;0;0;0;2
parseImpl;341;0;0;1;1;10
__str__;342;0;0;0;0;4
setResultsName;343;0;0;0;0;3
parseImpl;344;0;0;1;1;9
__str__;345;0;0;0;0;4
setResultsName;346;0;0;0;0;3
__bool__;347;0;0;0;0;1
__str__;348;0;0;0;0;1
__init__;349;0;0;0;0;3
parseImpl;350;0;0;1;1;4
__str__;351;0;0;0;0;4
__init__;352;0;0;0;0;8
parseImpl;353;1;0;1;1;17
__init__;354;0;0;0;0;1
__lshift__;355;0;0;0;0;12
leaveWhitespace;356;0;0;0;0;2
streamline;357;0;0;0;0;3
validate;358;0;0;0;0;3
__str__;359;0;0;0;0;7
copy;360;0;0;0;0;3
__str__;361;0;0;0;0;1
__init__;362;0;0;0;0;2
__init__;363;0;0;0;0;2
postParse;364;0;0;0;0;1
__init__;365;0;0;0;0;5
ignore;366;0;0;0;0;3
postParse;367;0;0;0;0;6
__init__;368;0;0;0;0;2
postParse;369;0;0;0;0;1
__init__;370;0;0;0;0;2
postParse;371;0;0;0;0;19
postParse;372;0;0;0;0;1
suppress;373;0;0;0;0;1
__init__;374;0;0;0;0;2
__call__;375;1;0;0;0;4
reset;376;0;0;0;0;1
traceParseAction;377;0;1;2;2;14
delimitedList;378;0;0;0;0;3
countedArray;379;0;0;0;0;6
_flatten;380;0;0;0;0;4
matchPreviousLiteral;381;0;0;0;0;7
matchPreviousExpr;382;1;0;0;0;8
_escapeRegexRangeChars;383;0;0;0;0;4
oneOf;384;0;0;1;1;28
dictOf;385;0;0;0;0;1
srange;386;0;0;1;1;2
matchOnlyAtCol;387;1;0;0;0;3
replaceWith;388;0;0;0;0;2
removeQuotes;389;0;0;0;0;1
upcaseTokens;390;0;0;0;0;1
downcaseTokens;391;0;0;0;0;1
keepOriginalText;392;0;1;1;1;5
getTokensEndLoc;393;1;0;0;0;5
_makeTags;394;0;0;0;0;14
makeHTMLTags;395;0;0;0;0;1
makeXMLTags;396;0;0;0;0;1
withAttribute;397;2;0;0;0;6
operatorPrecedence;398;3;0;0;0;17
nestedExpr;399;2;0;0;0;9
test;400;0;0;1;1;12
type_auto_or_float;401;0;0;0;0;2
type_auto_or_int;402;0;0;0;0;2
compute_time;403;0;0;0;0;2
bench_scikit_transformer;404;0;0;0;0;11
make_sparse_random_data;405;0;0;0;0;3
print_row;406;0;0;0;0;1
alt_nnmf;407;0;0;0;0;11
report;408;0;0;0;0;3
benchmark;409;0;0;0;0;46
generate_perturbed_logarithm_dataset;410;0;0;0;0;1
generate_logistic_dataset;411;0;0;0;0;2
generate_pathological_dataset;412;0;0;0;0;1
bench_isotonic_regression;413;0;0;0;0;5
compute_bench;414;0;0;0;0;56
make_data;415;0;0;0;0;4
calc_exact_neighbors;416;0;0;0;0;7
calc_accuracy;417;0;0;0;0;19
plot;418;0;0;0;0;18
euclidean_distances;419;0;0;0;0;1
rbf_kernels;420;0;0;0;0;1
compute_time;421;0;0;0;0;2
bench_sample;422;0;0;0;0;6
compute_bench;423;0;0;0;0;23
unpickle;424;0;0;0;0;2
handle_missing_dataset;425;0;0;0;0;3
get_data;426;0;0;0;0;32
plot_time_vs_s;427;0;0;0;0;11
scatter_time_vs_s;428;0;0;0;0;13
plot_power_iter_vs_s;429;0;0;0;0;7
svd_timing;430;0;0;0;0;10
norm_diff;431;0;0;0;0;6
scalable_frobenius_norm_discrepancy;432;0;0;0;0;10
bench_a;433;0;0;0;0;25
bench_b;434;0;0;0;0;21
bench_c;435;1;0;0;0;29
rmse;436;0;0;0;0;1
bench;437;0;0;0;0;8
compute_bench;438;0;0;0;0;46
bench_scikit_tree_classifier;439;0;0;0;0;6
bench_scikit_tree_regressor;440;0;0;0;0;6
benchmark;441;0;0;0;0;19
_tabulate;442;0;0;0;0;7
_plot;443;0;0;0;0;10
get_loss;444;0;0;0;0;6
bench_one;445;0;0;3;3;16
bench;446;0;0;0;0;17
plot_train_losses;447;0;0;0;0;5
plot_train_scores;448;0;0;0;0;6
plot_test_scores;449;0;0;0;0;6
plot_dloss;450;0;0;0;0;10
load_data;451;0;0;0;0;17
load_data;452;0;0;0;0;12
compute_bench;453;0;0;0;0;24
plot_results;454;0;0;0;0;1
benchmark;455;0;0;0;0;9
plot_feature_times;456;0;0;0;0;8
plot_feature_errors;457;0;0;0;0;8
plot_batch_times;458;0;0;0;0;8
plot_batch_errors;459;0;0;0;0;7
fixed_batch_size_comparison;460;0;0;0;0;13
variable_batch_size_comparison;461;0;0;0;0;18
sparsity_ratio;462;0;0;0;0;1
benchmark_dense_predict;463;0;0;0;0;2
benchmark_sparse_predict;464;0;0;0;0;3
score;465;0;0;0;0;2
get_data;466;1;0;0;0;7
barplot_neighbors;467;0;0;0;0;73
compute_bench;468;0;0;0;0;31
compute_bench_2;469;0;0;0;0;24
__init__;470;0;0;0;0;1
fit;471;0;0;0;0;1
transform;472;0;0;0;0;1
fit;473;0;0;0;0;1
transform;474;0;0;0;0;1
fit;475;0;0;0;0;1
transform;476;0;0;0;0;13
plot_hyperplane;477;0;0;0;0;5
plot_subfigure;478;1;0;0;0;25
generate_data;479;0;0;0;0;3
dataset_fixed_cov;480;0;0;0;0;6
dataset_cov;481;0;0;0;0;6
plot_data;482;0;0;0;0;26
plot_ellipse;483;0;0;0;0;10
plot_lda_cov;484;0;0;0;0;2
plot_qda_cov;485;0;0;0;0;2
plot_2d;486;0;0;0;0;5
plot_results;487;0;0;0;0;18
plot_samples;488;0;0;0;0;9
plot_ellipses;489;0;0;0;0;11
plot_results;490;0;0;0;0;18
make_ellipses;491;0;0;0;0;14
plot_results;492;0;0;0;0;18
nudge_dataset;493;0;0;0;0;5
plot_on_dataset;494;0;0;0;0;15
plot_calibration_curve;495;0;0;0;0;30
size_mb;496;0;0;0;0;1
trim;497;0;0;0;0;1
benchmark;498;0;0;0;0;28
n_nonzero_columns;499;0;0;0;0;1
tokens;500;0;0;0;0;1
token_freqs;501;0;0;0;0;4
benchmark;502;0;0;0;0;20
pdf;503;0;0;0;0;1
plot_figs;504;0;0;0;0;21
plot_gallery;505;0;0;0;0;9
compute_scores;506;0;0;0;0;8
shrunk_cov_score;507;0;0;0;0;3
lw_score;508;0;0;0;0;1
ricker_function;509;0;0;0;0;3
ricker_matrix;510;0;0;0;0;6
show_with_diff;511;0;0;0;0;14
plot_samples;512;0;0;0;0;13
main;513;0;0;0;0;28
heldout_score;514;0;0;0;0;4
cv_estimate;515;0;0;0;0;8
f;516;0;0;0;0;1
f;517;0;0;0;0;2
generate;518;0;0;0;0;8
plot_gallery;519;0;0;0;0;8
title;520;0;0;0;0;3
quotes_historical_google;521;0;0;0;0;6
print_top_words;522;0;0;0;0;4
_not_in_sphinx;523;0;0;0;0;1
__init__;524;0;0;0;0;3
handle_starttag;525;0;0;0;0;2
handle_endtag;526;0;0;0;0;2
_reset;527;0;0;0;0;8
parse;528;0;0;0;0;4
handle_data;529;0;0;0;0;3
start_reuters;530;0;0;0;0;1
end_reuters;531;0;0;0;0;3
start_title;532;0;0;0;0;1
end_title;533;0;0;0;0;1
start_body;534;0;0;0;0;1
end_body;535;0;0;0;0;1
start_topics;536;0;0;0;0;1
end_topics;537;0;0;0;0;1
start_d;538;0;0;0;0;1
end_d;539;0;0;0;0;3
stream_reuters_documents;540;0;0;0;0;20
get_minibatch;541;0;0;0;0;5
iter_minibatches;542;0;0;0;0;3
progress;543;0;0;0;0;7
plot_accuracy;544;0;0;0;0;7
autolabel;545;0;0;0;0;2
index;546;0;0;0;0;2
short_name;547;0;0;0;0;1
get_redirects;548;0;0;0;0;19
get_adjacency_matrix;549;0;0;0;0;21
centrality_scores;550;0;0;0;0;18
_not_in_sphinx;551;0;0;0;0;1
atomic_benchmark_estimator;552;0;0;0;0;9
bulk_benchmark_estimator;553;0;0;0;0;9
benchmark_estimator;554;0;0;0;0;3
generate_dataset;555;0;0;0;0;14
boxplot_runtimes;556;0;0;0;0;12
benchmark;557;0;0;0;0;12
n_feature_influence;558;0;0;0;0;9
plot_n_features_influence;559;0;0;0;0;12
benchmark_throughputs;560;0;0;0;0;10
plot_benchmark_throughput;561;0;0;0;0;12
generate_data;562;0;0;0;0;15
benchmark_influence;563;0;0;0;0;19
plot_influence;564;0;0;0;0;16
_count_nonzero_coefficients;565;0;0;0;0;2
_weights;566;0;0;0;0;4
_generate_center_coordinates;567;0;0;0;0;5
build_projection_operator;568;0;0;0;0;14
generate_synthetic_data;569;0;0;0;0;10
__init__;570;0;0;0;0;5
changed;571;0;0;0;0;1
add_observer;572;0;0;0;0;1
set_surface;573;0;0;0;0;1
dump_svmlight_file;574;0;0;0;0;4
__init__;575;0;0;0;0;4
fit;576;0;0;0;0;22
decision_surface;577;0;0;0;0;7
clear_data;578;0;0;0;0;3
add_example;579;0;0;0;0;3
refit;580;0;0;0;0;1
__init__;581;0;0;0;0;21
plot_kernels;582;0;0;0;0;3
onclick;583;0;0;0;0;2
update_example;584;0;0;0;0;4
update;585;0;0;0;0;13
remove_surface;586;0;0;0;0;5
plot_support_vectors;587;0;0;0;0;2
plot_decision_surface;588;1;0;0;0;8
__init__;589;0;0;0;0;40
get_parser;590;0;0;0;0;3
main;591;0;0;0;0;10
create_species_bunch;592;0;0;0;0;10
plot_species_distribution;593;0;0;0;0;55
_generate_vector;594;0;0;0;0;1
generate_dataset;595;0;0;0;0;1
