name_func;id_handler;name;user/sys;tuple
delayed;171;AttributeError;sys;1
__init__;172;KeyError;sys;1
_initialize_backend;173;FallbackToBackend;usr;1
retrieve;174;BaseException;sys;1
assert_raises_regex;175;Exception;sys;1
__init__;176;ImportError;sys;1
__init__;177;ImportError;sys;1
_unpickle;178;UnicodeDecodeError;sys;1
_load_output;179;KeyError;sys;1
_cached_call;182;Exception;sys;1
_write_func_code;183;TypeError;sys;1
_check_previous_func_code;184;TypeError;sys;1
_check_previous_func_code;185;IOError;sys;1
_persist_output;186;OSError;sys;1
_detect_encoding;188;StopIteration;sys;1
_detect_encoding;189;UnicodeDecodeError;sys;1
_detect_encoding;190;LookupError;sys;1
memstr_to_bytes;191;KeyError;usr;0
memstr_to_bytes;191;ValueError;usr;0
mkdirp;192;OSError;sys;1
safe_repr;195;KeyboardInterrupt;sys;1
safe_repr;197;KeyboardInterrupt;sys;1
safe_repr;199;KeyboardInterrupt;sys;1
_fixed_getframes;201;IndexError;sys;1
format_records;202;OSError;sys;1
format_records;203;KeyError;sys;1
format_records;204;IndexError;sys;1
format_records;205;IndexError;usr;0
format_records;205;UnicodeDecodeError;usr;0
format_records;205;SyntaxError;usr;0
format_exc;208;AttributeError;sys;1
__init__;211;ImportError;sys;1
load_compatibility;212;UnicodeDecodeError;sys;1
__call__;213;KeyboardInterrupt;sys;1
_mk_exception;215;TypeError;sys;1
__init__;216;TypeError;sys;1
_batch_setitems;219;TypeError;sys;1
__call__;220;OSError;sys;1
delete_folder;221;WindowsError;sys;1
__init__;222;IOError;sys;1
terminate;223;WindowsError;sys;1
_fill_buffer;224;EOFError;sys;1
_check_parameters;226;TypeError;sys;1
_check_parameters;227;ValueError;usr;0
_check_parameters;227;TypeError;usr;0
_fit;228;TypeError;sys;1
discretize;229;LinAlgError;usr;1
linkage_tree;230;KeyError;sys;1
_count_vocab;231;KeyError;sys;1
transform;232;KeyError;sys;1
_fit_and_score;233;Exception;sys;1
_score;234;ValueError;sys;1
_arg_max_reduced_likelihood_function;238;ValueError;sys;1
fit;239;ValueError;sys;1
logistic_regression_path;240;TypeError;sys;1
fit;242;TypeError;sys;1
_get_loss_function;243;KeyError;sys;1
_get_learning_rate_type;244;KeyError;sys;1
_get_penalty_type;245;KeyError;sys;1
spectral_embedding;249;ImportError;sys;1
spectral_embedding;250;RuntimeError;sys;1
null_space;251;RuntimeError;sys;1
